ACAtoAAA	ACCtoAAC	ACGtoAAG	ACTtoAAT	CCAtoCAA	CCCtoCAC	CCGtoCAG	CCTtoCAT	GCAtoGAA	GCCtoGAC	GCGtoGAG	GCTtoGAT	TCAtoTAA	TCCtoTAC	TCGtoTAG	TCTtoTAT	AAAtoACA	AACtoACC	AAGtoACG	AATtoACT	CAAtoCCA	CACtoCCC	CAGtoCCG	CATtoCCT	GAAtoGCA	GACtoGCC	GAGtoGCG	GATtoGCT	TAAtoTCA	TACtoTCC	TAGtoTCG	TATtoTCT	AAAtoAGA	AACtoAGC	AAGtoAGG	AATtoAGT	CAAtoCGA	CACtoCGC	CAGtoCGG	CATtoCGT	GAAtoGGA	GACtoGGC	GAGtoGGG	GATtoGGT	TAAtoTGA	TACtoTGC	TAGtoTGG	TATtoTGT	ACAtoAGA	ACCtoAGC	ACGtoAGG	ACTtoAGT	CCAtoCGA	CCCtoCGC	CCGtoCGG	CCTtoCGT	GCAtoGGA	GCCtoGGC	GCGtoGGG	GCTtoGGT	TCAtoTGA	TCCtoTGC	TCGtoTGG	TCTtoTGT	AAAtoATA	AACtoATC	AAGtoATG	AATtoATT	CAAtoCTA	CACtoCTC	CAGtoCTG	CATtoCTT	GAAtoGTA	GACtoGTC	GAGtoGTG	GATtoGTT	TAAtoTTA	TACtoTTC	TAGtoTTG	TATtoTTT	ACAtoATA	ACCtoATC	ACGtoATG	ACTtoATT	CCAtoCTA	CCCtoCTC	CCGtoCTG	CCTtoCTT	GCAtoGTA	GCCtoGTC	GCGtoGTG	GCTtoGTT	TCAtoTTA	TCCtoTTC	TCGtoTTG	TCTtoTTT
2	0	0	0	0	1	1	2	1	0	1	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	4	1	2	2	1	2	2	1	3	2	3	2	1	0
0	0	3	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	1	2	1	1	2	1	0	0	0
1	2	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	3	0	0	3	1	1	1	0	0	0	0	0	0
2	2	0	0	1	2	1	1	0	0	1	0	1	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	1	1	1	0	0	0	1	0	1	3	1	0	0	1	0	0	0	0	1	0	0	3	1	0	0	3	1	0	2	0	0	0	0	4	0
0	0	1	1	2	0	0	0	0	1	0	1	2	1	1	3	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	3	1	0	0	1	0	1	0	0	1	0	4	0	1	2	2	2	3	1	2	1	1	1	0	3
0	1	0	0	0	1	0	2	2	1	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	3	4	2	0	0	0	2	1	0	1	1	2	1	2	1
1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
0	0	0	0	2	1	0	0	1	1	1	0	1	2	1	0	1	1	0	1	0	1	0	1	0	1	2	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	1	1	0	1	4	3	1	1	2	0	1	1	1	1	0	0	1	1
1	0	0	1	0	2	0	0	0	0	0	1	2	4	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	0	0	1	2	1	0	1	1	1	0	0	0	0	1	0	1	0	2	1	0	1	1	0	0	0	1	0	1	0	1	1	0	1	2	2	0	2	4	1	0	1	4	1
0	2	0	0	1	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0
1	0	0	0	0	1	0	2	0	0	0	0	1	3	0	2	1	0	2	1	1	0	0	0	4	0	0	1	1	0	0	0	2	0	2	2	2	0	2	0	2	0	1	0	1	1	0	1	2	0	0	1	1	1	0	2	0	1	0	2	1	0	0	1	2	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	4	1	5	0	2	1	1	1	1	0	2	1	2	1	1	3
0	1	0	0	1	0	0	1	0	0	0	1	2	1	3	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	1	1	1	0	1	0	2	1	0	1	0	1	0	0	0	0	0	0	1	1	0	2	1	1	1	1	0	0	1	1	1	0	0
1	0	0	1	1	2	1	0	1	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	2	3	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	2	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	2	1	0	0	3	0	3
1	2	0	2	2	0	0	1	1	1	1	2	1	3	1	1	1	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	2	0	1	1	0	2	2	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	1	0	2	0	0	1	0	1	0	0	2	1	1	1	2	0	2	0	0	0	0	0	1	0	2	0	1	2	0	3	0	1	2	1	0	3	1	3	0	4
0	2	0	3	3	5	0	1	2	2	1	1	5	3	0	1	1	1	1	2	2	1	1	0	0	0	1	0	2	0	0	1	3	1	2	1	0	1	2	0	0	1	1	0	0	1	0	4	2	1	0	2	3	1	0	3	0	1	1	1	1	1	0	2	2	0	1	1	3	2	0	1	2	2	1	2	0	0	2	0	1	1	1	0	1	2	2	1	2	3	1	4	2	6	2	2
1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	2	1	1	0	0	0	2	1	2	3
0	1	0	1	3	1	0	1	2	3	0	1	0	2	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	1	2	0	0	0	0	0	1	1	1	1	3	0	0	1	1	0	1	1	0	0	0	2	0	0	2	0	0	1	0	1	0	0	1	0	0	1	0	0	1	2	0	1	0	1	1	2	1	2	2	0	0	0	1	2	2	1	1
0	4	0	2	2	0	0	2	0	1	0	1	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	2	0	1	1	1	2	2	1	2	1	0	1	0	0	1	0	1	1	0	0	0	1	2	1	1	0	0	0	0	0	1	1	0	2	1	2	0	0	0	0	1	0	0	2	0	1	0	2	0	3	3	4	1	1	3	2	2
0	1	0	0	0	0	0	1	0	1	1	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	2	1	3	2	1	1	2	0	2	0	1	0
3	0	1	2	4	1	0	5	2	1	0	2	1	0	0	1	1	0	0	3	0	1	1	0	2	0	0	0	0	0	1	0	1	2	3	2	1	0	1	1	0	0	5	1	0	0	1	2	0	0	0	2	1	0	0	2	0	0	0	1	2	0	0	2	1	0	3	1	0	1	2	0	0	0	1	0	0	2	2	1	2	1	2	1	4	1	2	2	2	3	2	3	7	0	2	2
0	1	0	1	1	0	0	2	0	0	1	2	1	2	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	2	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	2	1	1	0	1	2	1	1	2	2	2	2	0	1
0	0	0	0	3	1	0	0	2	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	1	1	2	1	1	1	1	1	0	0	3	1	0	3	1	1
1	0	0	0	0	1	2	0	0	0	2	0	1	2	0	2	2	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	2	1	0	0	0	2	1	2	1	0	2	1	1	2	0	0	0	0	0	0	1	0	1	1	2	0	2	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	1	2	0	1	5	2	0	0	1	3	2	3	0	5	1
1	1	0	0	0	2	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	2	1	0	0	0	2	0	0	1	2	2	3	3	0	1	2	0	1	0	4	0	0	1	1	1	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	1	0	0	1	1	0	0	1	3	1	0	6	0	4	6	2	1	4	4	3	2	3
0	1	0	0	0	0	0	0	1	1	1	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	2	0	0	0	1	2	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	2	0	0	0	0	1	2	0	0	1	2	1	0	3	0	0	1	1	2	0
1	1	0	0	0	2	2	1	2	1	0	1	1	1	2	4	1	0	1	0	1	0	1	1	1	0	0	0	2	0	0	0	3	0	2	0	0	1	1	2	1	0	0	0	0	2	3	2	1	1	0	0	1	0	2	2	1	2	1	2	2	2	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	4	4	1	0	2	4	2	1	4	3	5	3	5	2	3
0	0	1	1	2	2	1	3	3	1	0	0	3	1	0	1	0	0	2	0	1	0	0	0	4	0	1	1	0	1	0	0	1	1	2	3	0	1	3	3	1	0	0	0	0	3	1	2	1	0	1	1	1	1	0	2	0	1	1	0	1	1	1	5	1	0	0	1	0	0	0	0	0	0	2	1	2	0	0	0	1	1	1	3	2	4	2	5	6	0	2	1	4	4	0	2
0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	0	1	0
2	1	2	0	2	4	1	1	0	2	1	0	4	1	0	3	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	2	0	1	2	1	0	1	0	2	1	0	0	1	0	0	4	2	0	1	0	0	1	0	1	1	0	0	2	1	1	0	1	1	2	1	0	1	2	1	1	0	1	1	2	0	1	2	1	2	2	2	0	1	1	2	5	5	2	3
0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	4	4	1	3	0	5	2	0	2	1	1
2	0	0	1	2	2	1	2	0	2	0	0	0	2	0	1	1	0	1	0	1	0	0	0	0	0	0	3	0	1	0	0	1	1	2	1	1	1	2	1	1	1	2	3	0	0	2	1	2	1	1	0	0	0	3	1	1	0	0	0	0	1	0	2	1	1	1	0	0	1	1	0	1	0	1	0	3	0	0	1	1	0	3	1	1	3	1	1	3	3	1	0	2	4	1	0
2	0	0	0	2	2	0	0	1	1	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	2	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1	0	0	1	0	0	3	0	2	1	0	3	0	0	2	0	1	0	0	1	3	1
1	0	1	1	1	1	0	0	1	0	1	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	3	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	0	1	2	0	1	2	2	1
3	0	3	1	1	0	0	0	0	0	0	2	2	0	0	3	2	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	2	2	1	1	1	1	3	1	1	0	1	1	1	3	0	1	1
0	0	1	0	0	2	2	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	2	1	0	3	0	1	1	1	1	0	0	0	1	0	0	0	0	1	2	1	0	0	0	3	0	2	1	2	1	3	3	1	1
1	0	0	1	2	1	0	1	1	0	1	0	0	0	0	2	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	2	0	0	1	0	3	0	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	1	3	0	2	2	1	1	2	2	1	1
0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	2	2	0	2	2	0	2
0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	4	2	0	1	1	1	1	3	1	1	0
1	0	0	0	2	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	2	0	1	0	0	0	1	1	0	2	0	0	0	2	0	1	0	1	2	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	2	1	0	1	2	1	0
0	1	0	1	2	2	0	0	1	0	0	2	2	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	0	2	0	0	1	1	0	1	1	0	0	1	1	2	1	0	1	1	0	1	0	0	0	1	1	0	1	1	2	0	0	1	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	2	1	1	1	1	1	1	0
0	0	1	1	0	0	0	1	2	0	1	1	0	0	0	0	0	0	2	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	2	0	1	1	0	0	1	1	1	2	4	1	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	2	0	1	0	1	0	0	0	1	1	1	2	1	1	0	1	1	0	1	0	0	4	1	4	0	0
1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	2	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	2	1	0	0	1	2	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	5	1	0	1	2	3	0	0	2	0	0	0	1	2
1	0	0	2	2	0	1	2	2	0	0	0	1	2	0	1	0	0	2	1	1	0	2	0	1	0	0	0	0	1	0	0	1	1	1	0	2	1	1	6	0	0	0	1	0	1	2	0	0	0	0	0	3	1	0	2	0	2	1	0	2	0	0	2	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	1	1	2	1	1	0	3	0	0	1	3	1	3	4	1	1
1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	2	1	2	1	1	1	2	0	0	1	2	1	2	4	1	0
1	0	0	0	1	2	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	3	0	1	0	0	0	3	0	2	0	0	1	0	0	0	2	1	0	0	4	1	0	1	0	3	0
0	0	1	2	2	1	0	0	0	0	0	1	4	1	1	1	2	0	1	0	0	1	2	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	3	0	0	2	2	1	0	1	1	0	2	0	0	1	0	0	0	2	0	0	1	1	1	1	1	1	0	0	0	0	2	0	2	0	1	0	1	0	1	1	0	0	3	2	1	0	1	2	3	1	3	1	1	0	1	1	0	1
0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
0	0	0	1	2	1	0	1	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	5	0	0	2	3	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	2	0	0	1	1	1	2	3	0	1	0	0	1	1	2	1	0	0
0	1	0	0	1	2	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	6	6	0	10	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	5	0	3	0	3	0	1	2	6	0	12	5	7	5
0	0	0	3	2	2	0	1	0	0	0	2	2	3	0	0	1	0	2	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	2	3	2	0	0	0	3	1	0	1	0	1	0	2	1	1	0	2	0	0	0	2	0	0	2	0	0	1	1	1	0	0	1	0	0	1	2	2	0	1	2	1	2	0	1	0	4	4	2	0
0	2	0	0	2	1	1	1	3	0	0	1	0	2	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	2	0	0	0	0	0	1	0	1	1	1	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	3	0	1	1	0	0	2	3	0	0	0	3	1	0	0
0	1	2	0	0	0	1	3	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	1	1	3	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	2	1	1	0	1	1	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0	3	0	1	0	3	0	0	2	0
0	2	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	2	0	1	1	2	1	0	1	0	0	1	1	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	1	1	1	0	1	0	1	2	0	2
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	0	0	2	0	0	0	0	1	1	2	0	0	3	1	6	3	0	4	6	1	1	0	3	2	1	1	4	1
1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	2	0	1	2	5	1	1	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	0	0	0	1	1	0	0	4	1	0	0	1	1
0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	2	1	0	0	0	3	0	0	0	0	0
1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	5	0	1	1	2	1	1	0	5	0	0	1	0	0
0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	1	3	0	0	2	1	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	1	1	0	1	2	1	0	0	0	1
1	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	6	0	0	1	3	0	0	3	11	0	1	0	3	0
0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	5	0	1	1	1	0	0	0	1	0	0	0	1	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	2	0	2	1	0	0	2	0
0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	2	3	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	4	0	1	0	1	0	0	1	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1	2	1	1	1	0	3	0	1	0	0	0
0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	1	2	1	2	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	3	0	0	0	1	0
